Cycle 0: Row 3, Column 1
Cycle 224: Row 4, Column 1
Cycle 225: Row 3, Column 1
Cycle 226: Row 1, Column 4
Cycle 227: Row 3, Column 2
Cycle 228: Row 4, Column 2
Cycle 229: Row 1, Column 1
Cycle 230: Row 4, Column 1
Cycle 231: Row 3, Column 4
Cycle 232: Row 3, Column 2
Cycle 233: Row 1, Column 3
Cycle 234: Row 3, Column 4
Cycle 235: Row 2, Column 4
Cycle 236: Row 2, Column 2
Cycle 237: Row 1, Column 4
Cycle 238: Row 2, Column 3
Cycle 239: Row 2, Column 2
Cycle 240: Row 1, Column 4
Cycle 241: Row 1, Column 2
Cycle 242: Row 3, Column 4
Cycle 243: Row 1, Column 4
Cycle 244: Row 4, Column 3
Cycle 245: Row 1, Column 4
Cycle 246: Row 3, Column 1
Cycle 247: Row 2, Column 2
Cycle 248: Row 2, Column 4
Cycle 249: Row 1, Column 2
Cycle 250: Row 1, Column 2
Cycle 251: Row 4, Column 2
Cycle 252: Row 2, Column 2
Cycle 253: Row 4, Column 3
Cycle 254: Row 4, Column 4
Cycle 255: Row 3, Column 1
Cycle 256: Row 4, Column 1
Cycle 257: Row 4, Column 3
Cycle 258: Row 2, Column 3
Cycle 259: Row 4, Column 1
Cycle 260: Row 3, Column 2
Cycle 261: Row 3, Column 3
Cycle 262: Row 2, Column 2
Cycle 263: Row 3, Column 4
Cycle 264: Row 2, Column 1
Cycle 265: Row 3, Column 2
Cycle 266: Row 2, Column 1
Cycle 267: Row 2, Column 1
Cycle 268: Row 4, Column 1
Cycle 269: Row 1, Column 2
Cycle 270: Row 1, Column 3
Cycle 271: Row 1, Column 1
Cycle 272: Row 2, Column 2
Cycle 273: Row 1, Column 3
Cycle 274: Row 1, Column 4
Cycle 275: Row 2, Column 3
Cycle 276: Row 2, Column 3
Cycle 277: Row 3, Column 3
Cycle 278: Row 2, Column 3
Cycle 279: Row 4, Column 2
Cycle 280: Row 3, Column 4
Cycle 281: Row 1, Column 2
Cycle 282: Row 3, Column 4
Cycle 283: Row 4, Column 3
Cycle 284: Row 4, Column 2
Cycle 285: Row 2, Column 2
Cycle 286: Row 3, Column 3
Cycle 287: Row 4, Column 4
Cycle 288: Row 4, Column 1
Cycle 289: Row 3, Column 4
Cycle 290: Row 4, Column 4
Cycle 291: Row 3, Column 4
Cycle 292: Row 4, Column 3
Cycle 293: Row 1, Column 1
Cycle 294: Row 3, Column 4
Cycle 295: Row 1, Column 4
Cycle 296: Row 1, Column 4
Cycle 297: Row 2, Column 4
Cycle 298: Row 4, Column 3
Cycle 299: Row 2, Column 1
Cycle 300: Row 1, Column 1
Cycle 301: Row 1, Column 3
Cycle 302: Row 2, Column 3
Cycle 303: Row 1, Column 1
Cycle 304: Row 3, Column 2
Cycle 305: Row 4, Column 3
Cycle 306: Row 2, Column 2
Cycle 307: Row 1, Column 4
Cycle 308: Row 2, Column 3
Cycle 309: Row 3, Column 3
Cycle 310: Row 1, Column 4
Cycle 311: Row 2, Column 1
Cycle 312: Row 1, Column 4
Cycle 313: Row 2, Column 2
Cycle 314: Row 3, Column 4
Cycle 315: Row 4, Column 3
Cycle 316: Row 3, Column 1
Cycle 317: Row 4, Column 1
Cycle 318: Row 1, Column 2
Cycle 319: Row 3, Column 1
Cycle 320: Row 4, Column 1
Cycle 321: Row 3, Column 3
Cycle 322: Row 4, Column 2
Cycle 323: Row 1, Column 3
Cycle 324: Row 1, Column 4
Cycle 325: Row 4, Column 1
Cycle 326: Row 4, Column 1
Cycle 327: Row 4, Column 1
Cycle 328: Row 3, Column 2
Cycle 329: Row 3, Column 2
Cycle 330: Row 4, Column 3
Cycle 331: Row 2, Column 4
Cycle 332: Row 2, Column 1
Cycle 333: Row 2, Column 2
Cycle 334: Row 3, Column 2
Cycle 335: Row 3, Column 4
Cycle 336: Row 1, Column 2
Cycle 337: Row 3, Column 2
Cycle 338: Row 2, Column 3
Cycle 339: Row 4, Column 2
Cycle 340: Row 1, Column 3
Cycle 341: Row 1, Column 2
Cycle 342: Row 2, Column 1
Cycle 343: Row 4, Column 4
Cycle 344: Row 4, Column 4
Cycle 345: Row 4, Column 2
Cycle 346: Row 1, Column 1
Cycle 347: Row 3, Column 1
Cycle 348: Row 4, Column 3
Cycle 349: Row 1, Column 1
Cycle 350: Row 3, Column 3
Cycle 351: Row 1, Column 2
Cycle 352: Row 4, Column 4
Cycle 353: Row 1, Column 2
Cycle 354: Row 2, Column 3
Cycle 355: Row 3, Column 1
Cycle 356: Row 1, Column 1
Cycle 357: Row 2, Column 3
Cycle 358: Row 2, Column 3
Cycle 359: Row 3, Column 3
Cycle 360: Row 2, Column 3
Cycle 361: Row 1, Column 3
Cycle 362: Row 4, Column 3
Cycle 363: Row 4, Column 2
Cycle 364: Row 3, Column 2
Cycle 365: Row 4, Column 1
Cycle 366: Row 3, Column 3
Cycle 367: Row 1, Column 4
Cycle 368: Row 3, Column 3
Cycle 369: Row 1, Column 3
Cycle 370: Row 4, Column 1
Cycle 371: Row 2, Column 3
Cycle 372: Row 1, Column 2
Cycle 373: Row 3, Column 4
Cycle 374: Row 4, Column 3
Cycle 375: Row 1, Column 2
Cycle 376: Row 4, Column 3
Cycle 377: Row 1, Column 4
Cycle 378: Row 2, Column 3
Cycle 379: Row 1, Column 1
Cycle 380: Row 3, Column 2
Cycle 381: Row 4, Column 2
Cycle 382: Row 3, Column 2
Cycle 383: Row 3, Column 1
Cycle 384: Row 4, Column 4
Cycle 385: Row 4, Column 4
Cycle 386: Row 4, Column 1
Cycle 387: Row 3, Column 4
Cycle 388: Row 1, Column 4
Cycle 389: Row 4, Column 2
Cycle 390: Row 4, Column 1
Cycle 391: Row 4, Column 2
Cycle 392: Row 1, Column 3
Cycle 393: Row 2, Column 1
Cycle 394: Row 3, Column 4
Cycle 395: Row 2, Column 1
Cycle 396: Row 2, Column 3
Cycle 397: Row 4, Column 1
Cycle 398: Row 1, Column 3
Cycle 399: Row 3, Column 4
Cycle 400: Row 1, Column 2
Cycle 401: Row 3, Column 2
Cycle 402: Row 2, Column 2
Cycle 403: Row 2, Column 2
Cycle 404: Row 3, Column 3
Cycle 405: Row 2, Column 4
Cycle 406: Row 3, Column 4
Cycle 407: Row 3, Column 3
Cycle 408: Row 1, Column 3
Cycle 409: Row 4, Column 4
Cycle 410: Row 3, Column 4
Cycle 411: Row 4, Column 3
Cycle 412: Row 4, Column 4
Cycle 413: Row 3, Column 4
Cycle 414: Row 4, Column 2
Cycle 415: Row 2, Column 3
Cycle 416: Row 1, Column 1
Cycle 417: Row 4, Column 4
Cycle 418: Row 1, Column 3
Cycle 419: Row 1, Column 1
Cycle 420: Row 1, Column 4
Cycle 421: Row 2, Column 4
Cycle 422: Row 4, Column 2
Cycle 423: Row 2, Column 2
Cycle 424: Row 3, Column 3
Cycle 425: Row 4, Column 3
Cycle 426: Row 2, Column 4
Cycle 427: Row 2, Column 2
Cycle 428: Row 4, Column 1
Cycle 429: Row 1, Column 2
Cycle 430: Row 3, Column 1
Cycle 431: Row 2, Column 2
Cycle 432: Row 4, Column 1
Cycle 433: Row 4, Column 2
Cycle 434: Row 3, Column 1
Cycle 435: Row 2, Column 2
Cycle 436: Row 1, Column 4
Cycle 437: Row 2, Column 2
Cycle 438: Row 3, Column 1
Cycle 439: Row 2, Column 1
Cycle 440: Row 4, Column 4
Cycle 441: Row 1, Column 1
Cycle 442: Row 4, Column 1
Cycle 443: Row 1, Column 4
Cycle 444: Row 1, Column 2
Cycle 445: Row 1, Column 1
Cycle 446: Row 1, Column 2
Cycle 447: Row 1, Column 3
Cycle 448: Row 4, Column 2
Cycle 449: Row 3, Column 1
Cycle 450: Row 3, Column 3
Cycle 451: Row 1, Column 2
Cycle 452: Row 3, Column 4
Cycle 453: Row 4, Column 2
Cycle 454: Row 2, Column 2
Cycle 455: Row 1, Column 4
Cycle 456: Row 2, Column 2
Cycle 457: Row 1, Column 4
Cycle 458: Row 4, Column 4
Cycle 459: Row 2, Column 1
Cycle 460: Row 1, Column 2
Cycle 461: Row 1, Column 4
Cycle 462: Row 3, Column 3
Cycle 463: Row 4, Column 3
Cycle 464: Row 4, Column 3
Cycle 465: Row 1, Column 3
Cycle 466: Row 3, Column 1
Cycle 467: Row 4, Column 1
Cycle 468: Row 3, Column 4
Cycle 469: Row 3, Column 4
Cycle 470: Row 2, Column 3
Cycle 471: Row 1, Column 4
Cycle 472: Row 4, Column 1
Cycle 473: Row 4, Column 4
Cycle 474: Row 2, Column 4
Cycle 475: Row 4, Column 4
Cycle 476: Row 1, Column 4
Cycle 477: Row 4, Column 1
Cycle 478: Row 4, Column 4
Cycle 479: Row 2, Column 3
Cycle 480: Row 4, Column 4
Cycle 481: Row 4, Column 4
Cycle 482: Row 4, Column 2
Cycle 483: Row 4, Column 4
Cycle 484: Row 1, Column 4
Cycle 485: Row 3, Column 1
Cycle 486: Row 1, Column 3
Cycle 487: Row 3, Column 3
Cycle 488: Row 2, Column 3
Cycle 489: Row 3, Column 1
Cycle 490: Row 1, Column 3
Cycle 491: Row 3, Column 3
Cycle 492: Row 3, Column 1
Cycle 493: Row 3, Column 4
Cycle 494: Row 2, Column 4
Cycle 495: Row 3, Column 1
Cycle 496: Row 4, Column 2
Cycle 497: Row 1, Column 3
Cycle 498: Row 4, Column 4
Cycle 499: Row 3, Column 3
